#Organism group,Strain,Isolate identifiers,Isolate,AMR genotypes,AMR genotypes core,AST phenotypes
"Enterococcus faecalis",,"""AR_0680"",""SRS7923675""","PDT000923050.1","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83I=POINT,lsa(A)=COMPLETE,parC_S80I=POINT,sat4=COMPLETE,tet(M)=COMPLETE","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83I=POINT,lsa(A)=COMPLETE,parC_S80I=POINT,sat4=COMPLETE,tet(M)=COMPLETE","ampicillin=S,daptomycin=S,delafloxacin=R,doxycycline=S,levofloxacin=R,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=S,teicoplanin=S,vancomycin=S"
"Enterococcus faecalis",,"""AR_0678"",""SRS7923677""","PDT000923048.1","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83I=POINT,lsa(A)=COMPLETE,parC_S80I=POINT,sat4=COMPLETE,tet(M)=COMPLETE","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,gyrA_S83I=POINT,lsa(A)=COMPLETE,parC_S80I=POINT,sat4=COMPLETE,tet(M)=COMPLETE","ampicillin=S,daptomycin=S,delafloxacin=R,doxycycline=I,levofloxacin=R,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=I,teicoplanin=S,vancomycin=S"
"Klebsiella oxytoca",,"""BE 6 1387 1992"",""RO1"",""SRS6182325""","PDT001680295.1","aac(3)-IIe=COMPLETE,aph(3'')-Ib=COMPLETE,blaORN-1=COMPLETE,blaTEM-1=COMPLETE,dfrA14=COMPLETE,fosA=COMPLETE,oqxB=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE","aac(3)-IIe=COMPLETE,aph(3'')-Ib=COMPLETE,blaORN-1=COMPLETE,blaTEM-1=COMPLETE,dfrA14=COMPLETE,fosA=COMPLETE,oqxB=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE","amoxicillin-clavulanic acid=S,ampicillin=R,apramycin=S,ceftiofur=S,doxycycline=R,enrofloxacin=I,florfenicol=S,gentamicin=R,spectinomycin=S,streptomycin=R,tetracycline=R,trimethoprim-sulfamethoxazole=R"
"E.coli and Shigella","HUM3355","""HUM3355"",""HUM3355-1"",""SRS12097378""","PDT001463387.1","aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,arr-2=COMPLETE,blaCMY-2=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-10=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,catB3=PARTIAL,cmlA5=COMPLETE,dfrA14=COMPLETE,dfrA23=COMPLETE,dfrA5=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,tet(B)=COMPLETE","aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,arr-2=COMPLETE,blaCMY-2=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-10=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,catB3=PARTIAL,cmlA5=COMPLETE,dfrA14=COMPLETE,dfrA23=COMPLETE,dfrA5=COMPLETE,glpT_E448K=POINT,mph(A)=COMPLETE,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,tet(B)=COMPLETE","ampicillin=R,ceftriaxone=R,chloramphenicol=R,ciprofloxacin=I,ciprofloxacin=R,doxycycline=R,gentamicin=R,neomycin=R,rifampin=R,streptomycin=R,tetracycline=R,trimethoprim-sulfamethoxazole=R,trimethoprim=R"
"Enterococcus faecium",,"""AR_0576"",""SRS7923863""","PDT000923158.1","aac(6')-I=COMPLETE,dfrF=COMPLETE,dfrG=COMPLETE,gyrA_S83Y=POINT,msr(C)=COMPLETE,parC_S80R=POINT,tet(L)=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL","aac(6')-I=COMPLETE,dfrF=COMPLETE,dfrG=COMPLETE,gyrA_S83Y=POINT,msr(C)=COMPLETE,parC_S80R=POINT,tet(L)=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL","ampicillin=R,clindamycin=ND,daptomycin=S,doxycycline=R,erythromycin=I,gentamicin=ND,levofloxacin=R,linezolid=I,penicillin=R,quinupristin-dalfopristin=S,rifampin=R,teicoplanin=S,tetracycline=R,vancomycin=S"
"Enterococcus faecium",,"""AR_0575"",""SRS7923862""","PDT000923159.1","aac(6')-I=COMPLETE,aac(6')-Ie/aph(2'')-Ia=COMPLETE,dfrF=COMPLETE,gyrA_S83Y=POINT,msr(C)=COMPLETE,parC_S80R=POINT,tet(M)=COMPLETE,vanA=COMPLETE,vanH-A=COMPLETE,vanR-A=COMPLETE,vanS-A=COMPLETE,vanX-A=COMPLETE,vanY-A=COMPLETE,vanZ-A=COMPLETE","aac(6')-I=COMPLETE,aac(6')-Ie/aph(2'')-Ia=COMPLETE,dfrF=COMPLETE,gyrA_S83Y=POINT,msr(C)=COMPLETE,parC_S80R=POINT,tet(M)=COMPLETE,vanA=COMPLETE,vanH-A=COMPLETE,vanR-A=COMPLETE,vanS-A=COMPLETE,vanX-A=COMPLETE,vanY-A=COMPLETE,vanZ-A=COMPLETE","ampicillin=R,clindamycin=ND,daptomycin=S,doxycycline=I,erythromycin=I,gentamicin=ND,levofloxacin=R,linezolid=I,penicillin=R,quinupristin-dalfopristin=S,rifampin=R,teicoplanin=R,tetracycline=R,vancomycin=R"
"Enterococcus faecium",,"""AR_0574"",""SRS7923861""","PDT000923160.1","aac(6')-I=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,erm(T)=COMPLETE,gyrA_S83I=POINT,msr(C)=COMPLETE,parC_S80I=POINT,tet(L)=COMPLETE,tet(M)=COMPLETE","aac(6')-I=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,erm(T)=COMPLETE,gyrA_S83I=POINT,msr(C)=COMPLETE,parC_S80I=POINT,tet(L)=COMPLETE,tet(M)=COMPLETE","ampicillin=R,clindamycin=ND,daptomycin=S,doxycycline=R,erythromycin=R,gentamicin=ND,levofloxacin=R,linezolid=S,penicillin=R,quinupristin-dalfopristin=S,rifampin=R,teicoplanin=S,tetracycline=R,vancomycin=S"
"Enterococcus faecalis",,"""AR_0577"",""SRS7923864""","PDT000923157.1","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,catA=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,gyrA_S83Y=POINT,lsa(A)=COMPLETE,parC_S80I=POINT,sat4=COMPLETE,str=COMPLETE,tet(L)=COMPLETE,tet(M)=COMPLETE","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,catA=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,gyrA_S83Y=POINT,lsa(A)=COMPLETE,parC_S80I=POINT,sat4=COMPLETE,str=COMPLETE,tet(L)=COMPLETE,tet(M)=COMPLETE","ampicillin=S,clindamycin=ND,daptomycin=S,doxycycline=R,erythromycin=R,gentamicin=ND,levofloxacin=R,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=S,teicoplanin=S,tetracycline=R,vancomycin=S"
"Enterococcus faecalis",,"""AR_0573"",""SRS7923860""","PDT000923161.1","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,erm(B)=COMPLETE,lsa(A)=COMPLETE,lsa(A)=MISTRANSLATION,tet(L)=COMPLETE,tet(M)=COMPLETE","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,erm(B)=COMPLETE,lsa(A)=COMPLETE,lsa(A)=MISTRANSLATION,tet(L)=COMPLETE,tet(M)=COMPLETE","ampicillin=S,clindamycin=ND,daptomycin=S,doxycycline=R,erythromycin=R,gentamicin=ND,levofloxacin=S,linezolid=S,penicillin=S,quinupristin-dalfopristin=R,rifampin=I,teicoplanin=S,tetracycline=R,vancomycin=S"
"Enterococcus faecium",,"""AR_0578"",""SRS7923865""","PDT000923156.1","aac(6')-I=COMPLETE,aac(6')-Ie/aph(2'')-Ia=COMPLETE,dfrG=COMPLETE,erm(T)=COMPLETE,gyrA_S83Y=POINT,liaR_W73C=POINT,liaS_T120A=POINT,msr(C)=COMPLETE,parC_S80I=POINT,tet(L)=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL","aac(6')-I=COMPLETE,aac(6')-Ie/aph(2'')-Ia=COMPLETE,dfrG=COMPLETE,erm(T)=COMPLETE,gyrA_S83Y=POINT,liaR_W73C=POINT,liaS_T120A=POINT,msr(C)=COMPLETE,parC_S80I=POINT,tet(L)=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL","ampicillin=R,clindamycin=ND,daptomycin=NS,doxycycline=R,erythromycin=R,gentamicin=ND,levofloxacin=R,linezolid=S,penicillin=R,quinupristin-dalfopristin=S,rifampin=R,teicoplanin=S,tetracycline=R,vancomycin=S"
"Enterococcus faecium",,"""AR_0579"",""SRS7923866""","PDT000923155.1","aac(6')-I=COMPLETE,ant(6)-Ia=COMPLETE,aph(2'')-IVa=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,lnu(B)=COMPLETE,lsa(E)=COMPLETE,msr(C)=COMPLETE,sat4=COMPLETE,tet(L)=COMPLETE,tet(M)=COMPLETE","aac(6')-I=COMPLETE,ant(6)-Ia=COMPLETE,aph(2'')-IVa=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,erm(B)=COMPLETE,lnu(B)=COMPLETE,lsa(E)=COMPLETE,msr(C)=COMPLETE,sat4=COMPLETE,tet(L)=COMPLETE,tet(M)=COMPLETE","ampicillin=R,clindamycin=ND,daptomycin=S,doxycycline=R,erythromycin=R,gentamicin=ND,levofloxacin=S,linezolid=S,penicillin=R,quinupristin-dalfopristin=R,rifampin=R,teicoplanin=S,tetracycline=R,vancomycin=S"
"Enterococcus faecium",,"""AR_0572"",""SRS7923858""","PDT000923163.1","aac(6')-I=COMPLETE,aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,gyrA_S83Y=POINT,msr(C)=COMPLETE,parC_S80R=POINT,sat4=COMPLETE,tet(L)=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL,vanA=COMPLETE,vanH-A=COMPLETE,vanR-A=COMPLETE,vanS-A=COMPLETE,vanX-A=COMPLETE,vanY-A=COMPLETE,vanZ-A=COMPLETE","aac(6')-I=COMPLETE,aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrF=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,gyrA_S83Y=POINT,msr(C)=COMPLETE,parC_S80R=POINT,sat4=COMPLETE,tet(L)=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL,vanA=COMPLETE,vanH-A=COMPLETE,vanR-A=COMPLETE,vanS-A=COMPLETE,vanX-A=COMPLETE,vanY-A=COMPLETE,vanZ-A=COMPLETE","ampicillin=R,clindamycin=ND,daptomycin=S,doxycycline=R,erythromycin=R,gentamicin=ND,levofloxacin=R,linezolid=I,penicillin=R,quinupristin-dalfopristin=S,rifampin=R,teicoplanin=R,tetracycline=R,vancomycin=R"
"Staphylococcus aureus","AR_0219","""AR_0219"",""FDA-CDC-AR_0219"",""SRS1739415""","PDT000326663.2","aac(6')-Ie/aph(2'')-Ia=COMPLETE,aadD1=COMPLETE,abc-f=HMM,ant(9)-Ia=COMPLETE,bleO=COMPLETE,erm(A)=COMPLETE,erm(A)=MISTRANSLATION,fosB=COMPLETE,glpT_W355STOP=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,mepA=COMPLETE,parC_S80F=POINT,rpoB_H481Y=POINT,tet(38)=COMPLETE,tet(M)=COMPLETE","aac(6')-Ie/aph(2'')-Ia=COMPLETE,aadD1=COMPLETE,abc-f=HMM,ant(9)-Ia=COMPLETE,bleO=COMPLETE,erm(A)=COMPLETE,erm(A)=MISTRANSLATION,fosB=COMPLETE,glpT_W355STOP=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,parC_S80F=POINT,rpoB_H481Y=POINT,tet(38)=COMPLETE,tet(M)=COMPLETE","cefoxitin=R,ceftaroline=S,clindamycin=R,daptomycin=NS,doxycycline=I,erythromycin=R,gentamicin=R,levofloxacin=R,linezolid=S,mupirocin=ND,oxacillin=R,penicillin=R,rifampin=R,tetracycline=R,trimethoprim-sulfamethoxazole=S"
"Staphylococcus aureus","AR_0223","""AR_0223"",""FDA-CDC-AR_0223"",""SRS1739419""","PDT000326662.2","abc-f=HMM,fosB=COMPLETE,gyrA_S84L=POINT,mecA=COMPLETE,mecR1=PARTIAL,mepA=COMPLETE,murA_G257D=POINT,parC_S80Y=POINT,tet(38)=COMPLETE","abc-f=HMM,fosB=COMPLETE,gyrA_S84L=POINT,mecA=COMPLETE,mecR1=PARTIAL,murA_G257D=POINT,parC_S80Y=POINT,tet(38)=COMPLETE","cefoxitin=R,ceftaroline=S,clindamycin=S,daptomycin=NS,doxycycline=S,erythromycin=S,gentamicin=S,levofloxacin=R,linezolid=S,mupirocin=ND,oxacillin=R,penicillin=R,rifampin=S,tetracycline=S,trimethoprim-sulfamethoxazole=S"
"Staphylococcus aureus","AR_0225","""AR_0225"",""FDA-CDC-AR_0225"",""SRS1739409""","PDT000326669.2","abc-f=HMM,ant(6)-Ia=MISTRANSLATION,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,gyrA_S84L=POINT,mecA=COMPLETE,mecR1=PARTIAL,mepA=COMPLETE,mph(C)=COMPLETE,msr(A)=COMPLETE,murA_G257D=POINT,parC_S80Y=POINT,sat4=COMPLETE,tet(38)=COMPLETE","abc-f=HMM,ant(6)-Ia=MISTRANSLATION,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,gyrA_S84L=POINT,mecA=COMPLETE,mecR1=PARTIAL,mph(C)=COMPLETE,msr(A)=COMPLETE,murA_G257D=POINT,parC_S80Y=POINT,sat4=COMPLETE,tet(38)=COMPLETE","cefoxitin=R,ceftaroline=S,clindamycin=S,daptomycin=NS,doxycycline=S,erythromycin=R,gentamicin=S,levofloxacin=R,linezolid=S,mupirocin=ND,oxacillin=R,penicillin=R,rifampin=S,tetracycline=S,trimethoprim-sulfamethoxazole=S"
"Staphylococcus aureus","AR_0215","""AR_0215"",""FDA-CDC-AR_0215"",""SRS1739407""","PDT000326671.2","aadD1=COMPLETE,abc-f=HMM,ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,bleO=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,gyrA_E88K=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,mepA=COMPLETE,parC_E84G=POINT,parC_S80Y=POINT,tet(38)=COMPLETE,walK_S221P=POINT","aadD1=COMPLETE,abc-f=HMM,ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,bleO=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,gyrA_E88K=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,parC_E84G=POINT,parC_S80Y=POINT,tet(38)=COMPLETE,walK_S221P=POINT","cefoxitin=R,ceftaroline=S,clindamycin=R,daptomycin=NS,doxycycline=S,erythromycin=R,gentamicin=S,levofloxacin=R,linezolid=S,mupirocin=ND,oxacillin=R,penicillin=R,rifampin=S,tetracycline=S,trimethoprim-sulfamethoxazole=S"
"Staphylococcus aureus","AR_0226","""AR_0226"",""FDA-CDC-AR_0226"",""SRS1739410""","PDT000331086.2","abc-f=HMM,ant(6)-Ia=MISTRANSLATION,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,mecA=COMPLETE,mecR1=PARTIAL,mepA=COMPLETE,mph(C)=COMPLETE,msr(A)=COMPLETE,murA_G257D=POINT,rpoB_H481Y=POINT,tet(38)=COMPLETE","abc-f=HMM,ant(6)-Ia=MISTRANSLATION,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,mecA=COMPLETE,mecR1=PARTIAL,mph(C)=COMPLETE,msr(A)=COMPLETE,murA_G257D=POINT,rpoB_H481Y=POINT,tet(38)=COMPLETE","cefoxitin=R,ceftaroline=S,clindamycin=S,daptomycin=NS,doxycycline=S,erythromycin=R,gentamicin=S,levofloxacin=S,linezolid=S,mupirocin=ND,oxacillin=R,penicillin=R,rifampin=R,tetracycline=S,trimethoprim-sulfamethoxazole=S"
"Staphylococcus aureus","AR_0228","""AR_0228"",""FDA-CDC-AR_0228"",""SRS1739412""","PDT000331088.2","aadD1=COMPLETE,aadD1=PARTIAL,abc-f=HMM,ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,bleO=COMPLETE,bleO=PARTIAL,erm(A)=COMPLETE,erm(A)=PARTIAL,fosB=COMPLETE,gyrA_E88K=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,mepA=COMPLETE,mupA=COMPLETE,parC_E84G=POINT,parC_S80Y=POINT,tet(38)=COMPLETE","aadD1=COMPLETE,aadD1=PARTIAL,abc-f=HMM,ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,bleO=COMPLETE,bleO=PARTIAL,erm(A)=COMPLETE,erm(A)=PARTIAL,fosB=COMPLETE,gyrA_E88K=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,mupA=COMPLETE,parC_E84G=POINT,parC_S80Y=POINT,tet(38)=COMPLETE","cefoxitin=R,ceftaroline=S,clindamycin=R,daptomycin=NS,doxycycline=S,erythromycin=R,gentamicin=S,levofloxacin=R,linezolid=S,mupirocin=R,oxacillin=R,penicillin=R,rifampin=S,tetracycline=S,trimethoprim-sulfamethoxazole=S"
"Staphylococcus aureus","AR_0222","""AR_0222"",""FDA-CDC-AR_0222"",""SRS1739418""","PDT000331089.2","abc-f=HMM,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,mepA=COMPLETE,rpoB_D471G=POINT,tet(38)=COMPLETE","abc-f=HMM,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,rpoB_D471G=POINT,tet(38)=COMPLETE","cefoxitin=S,ceftaroline=S,clindamycin=S,daptomycin=S,doxycycline=S,erythromycin=S,gentamicin=S,levofloxacin=S,linezolid=S,mupirocin=ND,oxacillin=S,penicillin=R,rifampin=I,tetracycline=S,trimethoprim-sulfamethoxazole=S"
