#Organism group,Strain,Isolate identifiers,Isolate,AMR genotypes,AMR genotypes core,AST phenotypes
"E.coli and Shigella",,"""SRS6732473"",""ampC_0092""","PDT000966228.1","aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,blaTEM-135=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE","aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,blaCMY-2=COMPLETE,blaTEM-135=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732472"",""ampC_0010""","PDT000966229.1","acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,tet(A)=COMPLETE","blaCMY-2=COMPLETE,gyrA_S83L=POINT,tet(A)=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732471"",""ampC_0091""","PDT000966230.1","acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,tet(A)=COMPLETE","blaCMY-2=COMPLETE,gyrA_S83L=POINT,tet(A)=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732470"",""ampC_0090""","PDT000966231.1","acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE","blaCMY-2=COMPLETE,blaTEM-1=COMPLETE,tet(A)=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732467"",""ampC_0089""","PDT000966232.1","acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE","blaCMY-2=COMPLETE,blaTEM-1=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732469"",""ampC_0088""","PDT000966233.1","aadA1=COMPLETE,acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA1=COMPLETE,mdtM=COMPLETE,sat2=COMPLETE,sul2=COMPLETE","aadA1=COMPLETE,blaCMY-2=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA1=COMPLETE,sat2=COMPLETE,sul2=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732466"",""ampC_0086""","PDT000966235.1","acrF=COMPLETE,blaDHA-1=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,mdtM=COMPLETE,mph(A)=COMPLETE,qnrB4=COMPLETE,sul1=COMPLETE","blaDHA-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,mph(A)=COMPLETE,qnrB4=COMPLETE,sul1=COMPLETE","cefotaxime=I,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732465"",""ampC_0085""","PDT000966236.1","acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT","blaCMY-2=COMPLETE,gyrA_S83L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732462"",""ampC_0082""","PDT000966239.1","aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,arr=PARTIAL_END_OF_CONTIG,blaCMY-2=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,catB3=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458T=POINT,sul1=PARTIAL_END_OF_CONTIG,sul2=COMPLETE,tet(B)=COMPLETE","aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,arr=PARTIAL_END_OF_CONTIG,blaCMY-2=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,catB3=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458T=POINT,sul1=PARTIAL_END_OF_CONTIG,sul2=COMPLETE,tet(B)=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732461"",""ampC_0009""","PDT000966240.1","acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE","blaCMY-2=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732450"",""ampC_0008""","PDT000966251.1","acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT","ampC_C-42T=POINT,glpT_E448K=POINT,pmrB_Y358N=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732446"",""ampC_0068""","PDT000966254.1","acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,uhpT_E350Q=POINT","blaCMY-2=COMPLETE,uhpT_E350Q=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732444"",""ampC_0065""","PDT000966257.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC-5=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_E123D=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,pmrB_E123D=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732443"",""ampC_0014""","PDT000966258.1","acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaDHA-1=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,mdtM=COMPLETE,mph(A)=COMPLETE,qnrB4=COMPLETE,sul1=PARTIAL,sul2=COMPLETE","aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaDHA-1=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,mph(A)=COMPLETE,qnrB4=COMPLETE,sul1=PARTIAL,sul2=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732441"",""ampC_0130""","PDT000966260.1","acrF=COMPLETE,ampC_C-11T=POINT,aph(3'')=HMM,blaEC=COMPLETE,glpT_E448K=POINT,marR_S3N=POINT,pmrB_E123D=POINT,sul2=COMPLETE","ampC_C-11T=POINT,aph(3'')=HMM,glpT_E448K=POINT,marR_S3N=POINT,pmrB_E123D=POINT,sul2=COMPLETE","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732439"",""ampC_0128""","PDT000966262.1","acrF=COMPLETE,blaEC=COMPLETE,emrD=COMPLETE,parC_S57T=POINT,parE_I355T=POINT,uhpT_E350Q=POINT","parC_S57T=POINT,parE_I355T=POINT,uhpT_E350Q=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732438"",""ampC_0127""","PDT000966263.1","acrF=COMPLETE,ampC_C-11T=POINT,blaEC=COMPLETE,cyaA_S352T=POINT,glpT_E448K=POINT,mdtM=COMPLETE,parC_S57T=POINT,uhpT_E350Q=POINT","ampC_C-11T=POINT,cyaA_S352T=POINT,glpT_E448K=POINT,parC_S57T=POINT,uhpT_E350Q=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732437"",""ampC_0126""","PDT000966264.1","acrF=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,marR_S3N=POINT","gyrA_S83L=POINT,marR_S3N=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732436"",""ampC_0125""","PDT000966265.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC=COMPLETE,glpT_E448K=POINT,gyrA_D87G=POINT,mdtM=COMPLETE,pmrB_E123D=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,gyrA_D87G=POINT,pmrB_E123D=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732433"",""ampC_0122""","PDT000966268.1","acrF=COMPLETE,blaDHA-1=COMPLETE,blaEC=COMPLETE,dfrA17=COMPLETE,mdtM=COMPLETE,mph(A)=COMPLETE,qnrB4=COMPLETE,sul1=COMPLETE","blaDHA-1=COMPLETE,dfrA17=COMPLETE,mph(A)=COMPLETE,qnrB4=COMPLETE,sul1=COMPLETE","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732431"",""ampC_0121""","PDT000966270.1","aadA5=COMPLETE,acrF=COMPLETE,ampC_T-32A=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE","aadA5=COMPLETE,ampC_T-32A=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE","cefotaxime=I,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732430"",""ampC_0120""","PDT000966271.1","acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,mdtM=COMPLETE","blaCMY-2=COMPLETE,cyaA_S352T=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732428"",""ampC_0118""","PDT000966273.1","acrF=COMPLETE,ampC_T-14TGT=POINT,blaEC=COMPLETE,glpT_E448K=POINT,marR_S3N=POINT,pmrB_E123D=POINT","ampC_T-14TGT=POINT,glpT_E448K=POINT,marR_S3N=POINT,pmrB_E123D=POINT","cefotaxime=R,cefoxitin=R,ceftazidime=I"
"E.coli and Shigella",,"""SRS6732427"",""ampC_0117""","PDT000966274.1","aadA8=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cyaA_S352T=POINT,dfrA12=COMPLETE,mph(A)=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE","aadA8=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cyaA_S352T=POINT,dfrA12=COMPLETE,mph(A)=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732426"",""ampC_0116""","PDT000966275.1","acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,cyaA_S352T=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_E84G=POINT,sul2=COMPLETE","blaCMY-2=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,cyaA_S352T=POINT,gyrA_S83L=POINT,parC_E84G=POINT,sul2=COMPLETE","cefotaxime=R,cefoxitin=R,ceftazidime=R"
"E.coli and Shigella",,"""SRS6732425"",""ampC_0115""","PDT000966276.1","acrF=COMPLETE,ampC_T-32A=POINT,blaEC=COMPLETE,glpT_E448K=POINT,parE_I529L=POINT,pmrB_E123D=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT","ampC_T-32A=POINT,glpT_E448K=POINT,parE_I529L=POINT,pmrB_E123D=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT","cefotaxime=S,cefoxitin=R,ceftazidime=S"
"E.coli and Shigella",,"""SRS6732423"",""ampC_0113""","PDT000966278.1","aadA1=COMPLETE,acrF=COMPLETE,blaDHA-1=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,dfrA1=COMPLETE,mdtM=COMPLETE,mph(A)=COMPLETE,qnrB4=COMPLETE,sat2=COMPLETE,sul1=COMPLETE","aadA1=COMPLETE,blaDHA-1=COMPLETE,blaTEM-1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,dfrA1=COMPLETE,mph(A)=COMPLETE,qnrB4=COMPLETE,sat2=COMPLETE,sul1=COMPLETE","cefotaxime=I,cefoxitin=R,ceftazidime=I"
