#Organism group,Strain,Isolate identifiers,Isolate,AMR genotypes,AMR genotypes core,AST phenotypes
"Staphylococcus aureus",,"""PC0177"",""PC0177aii-S0226"",""SRS11792543""","PDT001516330.1","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=PARTIAL,mepA=COMPLETE,tet(38)=COMPLETE","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=PARTIAL,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=S,fusidic acid=S,gentamicin=R,oxacillin=S,penicillin=R,rifampin=S,tetracycline=S,vancomycin=S"
"Staphylococcus aureus",,"""PC0060"",""PC0060a-S0060"",""SRS11792391""","PDT001516482.1","blaI=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,mepA=COMPLETE,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","blaI=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=R,fusidic acid=S,gentamicin=R,oxacillin=S,penicillin=R,rifampin=S,tetracycline=S,vancomycin=S"
"Listeria monocytogenes",,"""0000-0051-3483"",""10"",""SRS1016968""","PDT000077416.3","fosX=COMPLETE,lin=COMPLETE","fosX=COMPLETE,lin=COMPLETE","chloramphenicol=S,clindamycin=R,erythromycin=S,gentamicin=S,levofloxacin=S,oxacillin=R,penicillin=S,rifampin=S,tetracycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
"Staphylococcus aureus",,"""BWH_564_S_aur"",""SRS15307137""","PDT001440624.1","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,mepA=COMPLETE,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ceftaroline=S,chloramphenicol=I,daptomycin=S,erythromycin=R,gentamicin=S,levofloxacin=S,linezolid=S,oxacillin=S,rifampin=S,tetracycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
"Pseudomonas aeruginosa","SCAID WND1-2021 (9/195)","""Pseudomonas aeruginosa SCAID WND1-2021"",""SCAID WND1-2021 (9/195)"",""SRS9980274""","PDT001127882.1","aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE","aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=S,carbenicillin=S,cefazolin=R,ceftriaxone=R,erythromycin=R,gentamicin=S,imipenem=I,meropenem=S,oxacillin=R,tobramycin=S"
"Pseudomonas aeruginosa","SCAID TST-2021 (7/157)","""Pseudomonas aeruginosa SCAID TST-2021"",""SCAID TST-2021 (7/157)"",""SRS9980273""","PDT001127883.1","aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE","aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_T83I=POINT","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=I,carbenicillin=S,cefazolin=R,ceftriaxone=I,erythromycin=R,gentamicin=S,imipenem=R,meropenem=S,oxacillin=R,tobramycin=S"
"Pseudomonas aeruginosa","SCAID PLC1-2021 (16/222)","""Pseudomonas aeruginosa SCAID PLC1-2021"",""SCAID PLC1-2021 (16/222)"",""SRS9980275""","PDT001127884.1","aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=MISTRANSLATION,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE","aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=MISTRANSLATION,fosA=COMPLETE,gyrA_T83I=POINT","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=R,carbenicillin=S,cefazolin=R,ceftriaxone=S,erythromycin=R,gentamicin=S,imipenem=S,meropenem=S,oxacillin=R,tobramycin=S"
"Klebsiella pneumoniae","SCAID PHRX1-2021 (13/97)","""Klebsiella pneumoniae SCAID PHRX1-2021"",""SCAID PHRX1-2021 (13/97)"",""SRS9980269""","PDT001127727.1","blaSHV-11=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE","blaSHV-11=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=R,carbenicillin=S,cefazolin=S,ceftriaxone=S,erythromycin=R,gentamicin=S,imipenem=S,meropenem=S,oxacillin=R,tobramycin=S"
"Klebsiella pneumoniae","SCAID PHRX2-2021 (20/245)","""Klebsiella pneumoniae SCAID PHRX2-2021"",""SCAID PHRX2-2021 (20/245)"",""SRS9980271""","PDT001127728.1","blaSHV-207=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE","blaSHV-207=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=S,carbenicillin=S,cefazolin=S,ceftriaxone=S,erythromycin=R,gentamicin=S,imipenem=S,meropenem=S,oxacillin=R,tobramycin=S"
"Klebsiella pneumoniae","SCAID TST1-2021 (15/226)","""Klebsiella pneumoniae SCAID TST1-2021"",""SCAID TST1-2021 (15/226)"",""SRS9980270""","PDT001127729.1","blaSHV-1=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE","blaSHV-1=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=R,carbenicillin=S,cefazolin=S,ceftriaxone=S,erythromycin=R,gentamicin=S,imipenem=S,meropenem=S,oxacillin=R,tobramycin=S"
"Streptococcus pneumoniae","SCAID PHRX1-2021","""SCAID PHRX1-2021"",""SRS9980276"",""Streptococcus pneumoniae SCAID PHRX1-2021""","PDT001128122.1","pbp2b=COMPLETE,pbp2x=COMPLETE,pmrA=COMPLETE","pbp2b=COMPLETE,pbp2x=COMPLETE","amikacin=S,amoxicillin=S,ampicillin=R,azithromycin=S,carbenicillin=S,cefazolin=S,ceftriaxone=S,erythromycin=I,gentamicin=S,imipenem=S,meropenem=S,oxacillin=R,tobramycin=S"
"E.coli and Shigella","SCAID URN1-2021 (19/278)","""Escherichia coli SCAID URN1-2021"",""SCAID URN1-2021 (19/278)"",""SRS9980272""","PDT001126241.1","acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-55=COMPLETE,blaEC-5=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,marR_S3N=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L416F=POINT,pmrB_E123D=POINT,sul2=COMPLETE,tet(B)=COMPLETE,uhpT_E350Q=POINT","aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-55=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,marR_S3N=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L416F=POINT,pmrB_E123D=POINT,sul2=COMPLETE,tet(B)=COMPLETE,uhpT_E350Q=POINT","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=S,carbenicillin=S,cefazolin=R,ceftriaxone=R,erythromycin=R,gentamicin=S,imipenem=S,meropenem=S,oxacillin=R,tobramycin=S"
"E.coli and Shigella","SCAID WND1-2021 (1/128)","""Escherichia coli SCAID WND1-2021"",""SCAID WND1-2021 (1/128)"",""SRS9980266""","PDT001126242.1","aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL,dfrA17=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,pmrB_E123D=POINT,ptsI_V25I=POINT,sul1=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT","aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL,dfrA17=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,pmrB_E123D=POINT,ptsI_V25I=POINT,sul1=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT","amikacin=I,amoxicillin=R,ampicillin=R,azithromycin=R,carbenicillin=I,cefazolin=R,ceftriaxone=R,erythromycin=R,gentamicin=S,imipenem=S,meropenem=S,oxacillin=R,tobramycin=S"
"E.coli and Shigella","SCAID WND2-2021 (3/145)","""Escherichia coli SCAID WND2-2021"",""SCAID WND2-2021 (3/145)"",""SRS9980267""","PDT001126243.1","aadA5=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cyaA_S352T=POINT,dfrA17=PARTIAL,glpT_E448K=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","aadA5=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cyaA_S352T=POINT,dfrA17=PARTIAL,glpT_E448K=POINT,mph(A)=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=I,carbenicillin=S,cefazolin=S,ceftriaxone=S,erythromycin=R,gentamicin=S,imipenem=S,meropenem=S,oxacillin=R,tobramycin=S"
"Staphylococcus aureus","SCAID OTT1-2021 (597/2)","""SCAID OTT1-2021 (597/2)"",""SRS9980279"",""Staphylococcus aureus SCAID OTT1-2021""","PDT001128123.1","blaI=MISTRANSLATION,glpT_A100V=POINT,mepA=MISTRANSLATION,murA_E291D=POINT,murA_T396N=POINT,tet(38)=COMPLETE","blaI=MISTRANSLATION,glpT_A100V=POINT,murA_E291D=POINT,murA_T396N=POINT,tet(38)=COMPLETE","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=S,carbenicillin=S,cefazolin=S,ceftriaxone=S,erythromycin=S,gentamicin=S,imipenem=S,meropenem=S,oxacillin=R,tobramycin=S"
"Staphylococcus aureus","SCAID WND1-2021 (598)","""SCAID WND1-2021 (598)"",""SRS9980278"",""Staphylococcus aureus SCAID WND1-2021""","PDT001128124.1","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,mepA=COMPLETE,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=S,carbenicillin=S,cefazolin=S,ceftriaxone=S,erythromycin=S,gentamicin=S,imipenem=S,meropenem=S,oxacillin=S,tobramycin=S"
"Burkholderia cepacia complex","SCAID TST1-2021 (11/270)","""Burkholderia contaminans SCAID TST1-2021"",""SCAID TST1-2021 (11/270)"",""SRS9980268""","PDT001128216.2","ant(3'')=HMM,arr=HMM,bla=HMM,blaPEN-bcc=COMPLETE,cml=HMM","ant(3'')=HMM,arr=HMM,bla=HMM,blaPEN-bcc=COMPLETE,cml=HMM","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=S,carbenicillin=S,cefazolin=R,ceftriaxone=S,erythromycin=S,gentamicin=S,imipenem=R,meropenem=S,oxacillin=R,tobramycin=S"
"Staphylococcus aureus",,"""PC0043"",""PC0043b-S0168"",""SRS11792586""","PDT001516287.1","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaR1=HMM,blaZ=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_L27F=POINT,ileS_V588F=POINT,mepA=COMPLETE,murA_E291D=POINT,murA_T396N=POINT,tet(38)=COMPLETE","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaR1=HMM,blaZ=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_L27F=POINT,ileS_V588F=POINT,murA_E291D=POINT,murA_T396N=POINT,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=R,daptomycin=S,fusidic acid=S,gentamicin=S,linezolid=S,mupirocin=R,nitrofurantoin=S,oxacillin=S,penicillin=R,rifampin=S,teicoplanin=S,tetracycline=S,vancomycin=S"
"Staphylococcus aureus",,"""PN0230"",""PN0230-S0372"",""SRS11792650""","PDT001516223.1","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,mepA=COMPLETE,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=S,fusidic acid=S,gentamicin=S,linezolid=S,mupirocin=S,nitrofurantoin=S,oxacillin=S,penicillin=R,rifampin=S,teicoplanin=S,tetracycline=S,vancomycin=S"
"Staphylococcus aureus",,"""PN0158"",""PN0158-S0329"",""SRS11792453""","PDT001516420.1","abc-f=HMM,fosB=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE","abc-f=HMM,fosB=COMPLETE,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=R,fusidic acid=S,gentamicin=S,linezolid=S,mupirocin=S,nitrofurantoin=S,oxacillin=S,penicillin=R,rifampin=S,teicoplanin=S,tetracycline=S,vancomycin=S"
"Staphylococcus aureus",,"""PC0150"",""PC0150-S0150"",""SRS11792435""","PDT001516438.1","abc-f=HMM,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE","abc-f=HMM,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=COMPLETE,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,daptomycin=S,erythromycin=S,fusidic acid=S,linezolid=S,mupirocin=S,nitrofurantoin=S,oxacillin=S,penicillin=R,rifampin=S,teicoplanin=S,tetracycline=S,vancomycin=S"
"Staphylococcus aureus",,"""PC0053"",""PC0053-S0053"",""SRS11792372""","PDT001516501.1","ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,glpT_A100V=POINT,mepA=COMPLETE,murA_E291D=POINT,murA_T396N=POINT,sat4=COMPLETE,tet(38)=COMPLETE","ant(6)-Ia=PARTIAL,aph(3')-IIIa=COMPLETE,glpT_A100V=POINT,murA_E291D=POINT,murA_T396N=POINT,sat4=COMPLETE,tet(38)=COMPLETE","ciprofloxacin=S,daptomycin=S,erythromycin=S,fusidic acid=S,gentamicin=S,linezolid=S,mupirocin=S,nitrofurantoin=S,oxacillin=S,penicillin=R,rifampin=S,teicoplanin=S,tetracycline=S,vancomycin=S"
"Staphylococcus aureus",,"""BWH_361_S_aur"",""SRS15307184""","PDT001440580.1","abc-f=HMM,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE","abc-f=HMM,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=COMPLETE,tet(38)=COMPLETE","ceftaroline=S,chloramphenicol=S,clindamycin=S,daptomycin=S,erythromycin=S,gentamicin=S,levofloxacin=S,linezolid=S,oxacillin=S,penicillin=R,rifampin=S,tetracycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
"Pseudomonas aeruginosa","SCAID WND1-2022 (148)","""Pseudomonas aeruginosa SCAID WND1-2022 (148)"",""SCAID WND1-2022 (148)"",""SRS14671496""","PDT001398902.1","aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE","aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=S,carbenicillin=R,cefazolin=R,cefepime=R,ceftriaxone=I,clindamycin=R,erythromycin=R,gentamicin=S,levofloxacin=I,meropenem=R,oxacillin=R,tobramycin=S"
"Stenotrophomonas maltophilia","SCAID WND1-2022 (370)","""SCAID WND1-2022 (370)"",""SRS14671500"",""Stenotrophomanas maltophila SCAID WND1-2022 (370)""","PDT001398931.1","aph(3')-IIc=COMPLETE,aph(6)=COMPLETE,arr=HMM,blaL1=COMPLETE,blaL2=HMM,emrA=COMPLETE,emrB=COMPLETE,emrC=COMPLETE,smeF=COMPLETE","aph(3')-IIc=COMPLETE,aph(6)=COMPLETE,arr=HMM,blaL1=COMPLETE,blaL2=HMM","amikacin=S,amoxicillin=R,ampicillin=R,azithromycin=S,carbenicillin=R,cefazolin=R,cefepime=R,ceftriaxone=R,clindamycin=R,erythromycin=S,gentamicin=S,levofloxacin=S,meropenem=S,oxacillin=R,tobramycin=S"
"Staphylococcus aureus",,"""PC0004"",""PC0004c-S0279"",""SRS11792496""","PDT001516377.1","abc-f=HMM,fosB=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE,tet(38)=PARTIAL_END_OF_CONTIG","abc-f=HMM,fosB=COMPLETE,tet(38)=COMPLETE,tet(38)=PARTIAL_END_OF_CONTIG","ciprofloxacin=S,clindamycin=S,daptomycin=S,erythromycin=S,fusidic acid=S,gentamicin=S,linezolid=S,mupirocin=S,nitrofurantoin=S,oxacillin=S,penicillin=S,rifampin=S,teicoplanin=S,tetracycline=S,vancomycin=S"
"Staphylococcus aureus",,"""PC0004"",""PC0004b-S0104"",""SRS11792485""","PDT001516388.1","abc-f=HMM,fosB=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE","abc-f=HMM,fosB=COMPLETE,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,daptomycin=S,erythromycin=S,fusidic acid=S,gentamicin=S,linezolid=S,mupirocin=S,nitrofurantoin=S,oxacillin=S,penicillin=S,rifampin=S,teicoplanin=S,tetracycline=S,vancomycin=S"
"Staphylococcus aureus",,"""PC0004"",""PC0004a-S0004"",""SRS11792474""","PDT001516399.1","abc-f=HMM,fosB=COMPLETE,mepA=COMPLETE,tet(38)=COMPLETE","abc-f=HMM,fosB=COMPLETE,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,daptomycin=S,erythromycin=S,fusidic acid=S,gentamicin=S,linezolid=S,mupirocin=S,nitrofurantoin=S,oxacillin=S,penicillin=S,rifampin=S,teicoplanin=S,tetracycline=S,vancomycin=S"
