#Organism group,Strain,Isolate identifiers,Isolate,AMR genotypes,AMR genotypes core,AST phenotypes
"Clostridioides difficile","CDI-19","""AR-1085"",""CDI-19"",""SRS6484544""","PDT000888374.1","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-23","""AR-1089"",""CDI-23"",""SRS6484549""","PDT000888382.1","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,erm(B)=COMPLETE,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,erm(B)=COMPLETE","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-27","""AR-1093"",""CDI-27"",""SRS6484553""","PDT000888383.1","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-21","""AR-1087"",""CDI-21"",""SRS6484547""","PDT000888385.1","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-12","""AR-1078"",""CDI-12"",""SRS6484537""","PDT000888705.1","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-16","""AR-1082"",""CDI-16"",""SRS6484541""","PDT000888375.1","blaCDD=COMPLETE,blaR1=HMM,gyrB_S366A=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrB_S366A=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-22","""AR-1088"",""CDI-22"",""SRS6484548""","PDT000888386.1","blaCDD=COMPLETE,blaR1=HMM,gyrB_S366A=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrB_S366A=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-15","""AR-1081"",""CDI-15"",""SRS6484540""","PDT000888377.1","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrB_I139R=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-02","""AR-1068"",""CDI-02"",""SRS6484535""","PDT000888380.1","blaCDD=COMPLETE,blaR1=HMM,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-13","""AR-1079"",""CDI-13"",""SRS6484538""","PDT000888706.1","blaCDD=COMPLETE,blaR1=HMM,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-29","""AR-1095"",""CDI-29"",""SRS6484555""","PDT000888381.1","blaCDD=COMPLETE,blaR1=HMM,gyrA_T82I=POINT,rpoB_H502N=POINT,rpoB_R505K=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanR=HMM,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrA_T82I=POINT,rpoB_H502N=POINT,rpoB_R505K=POINT,vanR=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-01","""AR-1067"",""CDI-01"",""SRS6484534""","PDT000888703.1","blaCDD=COMPLETE,blaR1=HMM,dfrF=COMPLETE,erm(B)=PARTIAL,gyrA_T82I=POINT,rpoB_R505K=POINT,tet(M)=PARTIAL,vanG=COMPLETE,vanR-Cd=COMPLETE,vanR=HMM,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,dfrF=COMPLETE,erm(B)=PARTIAL,gyrA_T82I=POINT,rpoB_R505K=POINT,tet(M)=PARTIAL,vanR=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-26","""AR-1092"",""CDI-26"",""SRS6484552""","PDT000888704.1","blaCDD=COMPLETE,blaR1=HMM,erm(B)=COMPLETE,gyrA_T82I=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanR=HMM,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,erm(B)=COMPLETE,gyrA_T82I=POINT,vanR=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-10","""AR-1076"",""CDI-10"",""SRS6484563""","PDT000888707.1","blaCDD=COMPLETE,blaR1=HMM,gyrA_T82I=POINT,rpoB_R505K=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanR=HMM,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrA_T82I=POINT,rpoB_R505K=POINT,vanR=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-06","""AR-1072"",""CDI-06"",""SRS6484559""","PDT000888711.1","blaCDD=PARTIAL_END_OF_CONTIG,blaR1=HMM,erm(B)=COMPLETE,gyrA_T82I=POINT,rpoB_R505K=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanR=HMM,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=PARTIAL_END_OF_CONTIG,blaR1=HMM,erm(B)=COMPLETE,gyrA_T82I=POINT,rpoB_R505K=POINT,vanR=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-05","""AR-1071"",""CDI-05"",""SRS6484558""","PDT000888713.1","blaCDD=COMPLETE,blaR1=HMM,gyrA_T82I=POINT,vanG=COMPLETE,vanR-Cd=PARTIAL_END_OF_CONTIG,vanR=HMM,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,gyrA_T82I=POINT,vanR=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-18","""AR-1084"",""CDI-18"",""SRS6484543""","PDT000888373.1","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-24","""AR-1090"",""CDI-24"",""SRS6484550""","PDT000888384.1","blaCDD=COMPLETE,blaR1=HMM,erm(B)=COMPLETE,gyrB_I139R=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","blaCDD=COMPLETE,blaR1=HMM,erm(B)=COMPLETE,gyrB_I139R=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-20","""AR-1086"",""CDI-20"",""SRS6484545""","PDT000888387.2","abc-f=HMM,blaCDD-1=COMPLETE,blaR1=HMM,gyrB_V130I=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD-1=COMPLETE,blaR1=HMM,gyrB_V130I=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Clostridioides difficile","CDI-03","""AR-1069"",""CDI-03"",""SRS6484546""","PDT000888714.1","abc-f=HMM,blaCDD-1=COMPLETE,blaR1=HMM,gyrB_V130I=POINT,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD-1=COMPLETE,blaR1=HMM,gyrB_V130I=POINT","ceftriaxone=ND,clindamycin=ND,meropenem=ND,metronidazole=ND,moxifloxacin=ND,vancomycin=ND"
"Streptococcus agalactiae","MRSN612513","""MRSN612513""","PDT000578148.2",,,"daptomycin=S,levofloxacin=S,linezolid=S,moxifloxacin=S,penicillin=S,tetracycline=S,tigecycline=S,vancomycin=S"
"Streptococcus agalactiae","MRSN612504","""MRSN612504""","PDT000578149.2",,,"daptomycin=S,levofloxacin=S,linezolid=S,moxifloxacin=S,penicillin=S,tetracycline=S,tigecycline=S,vancomycin=S"
"Streptococcus agalactiae","MRSN612522","""MRSN612522""","PDT000578152.2",,,"daptomycin=S,levofloxacin=S,linezolid=S,moxifloxacin=S,penicillin=S,tetracycline=S,tigecycline=S,vancomycin=S"
"Streptococcus agalactiae","MRSN612531","""MRSN612531""","PDT000578153.2",,,"daptomycin=S,levofloxacin=S,linezolid=S,moxifloxacin=S,penicillin=S,tetracycline=S,tigecycline=S,vancomycin=S"
"Clostridioides difficile","DH/NAP11/106/ST-42","""DH/NAP11/106/ST-42"",""LC5624""","PDT000230889.1","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM,vanG=COMPLETE,vanR-Cd=COMPLETE,vanS-Cd=COMPLETE,vanT-Cd=COMPLETE,vanZ1=COMPLETE","abc-f=HMM,blaCDD=COMPLETE,blaR1=HMM","ampicillin=S,ciprofloxacin=ND,clindamycin=I,fidaxomicin=ND,metronidazole=S,moxifloxacin=S,rifaximin=ND,surotomycin=ND,vancomycin=ND"
"E.coli and Shigella","URMC_6","""URMC_6"",""URMC_6_E_Col""","PDT000543226.1","acrF=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT","blaCTX-M-27=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT","amikacin=S,aztreonam=R,cefazolin=R,cefepime=S,ceftriaxone=R,ciprofloxacin=R,ertapenem=S,levofloxacin=S,moxifloxacin=S,nitrofurantoin=S,tigecycline=S,tobramycin=S"
"Staphylococcus aureus",,"""0000-0063-2238"",""302"",""SRS1963416""","PDT000186897.3","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,mepA=COMPLETE,tet(38)=COMPLETE","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,tet(38)=COMPLETE","ciprofloxacin=S,clindamycin=S,erythromycin=S,gentamicin=S,levofloxacin=S,linezolid=S,minocycline=S,moxifloxacin=S,penicillin=R,rifampin=S,tetracycline=S,tigecycline=S,vancomycin=S"
"E.coli and Shigella","URMC_1","""URMC_1"",""URMC_1_E_Col""","PDT000542613.1","aac(3)-IIe=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-55=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,pmrB_Y358N=POINT,tet(A)=COMPLETE","aac(3)-IIe=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-55=COMPLETE,glpT_E448K=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,parE_S458A=POINT,pmrB_Y358N=POINT,tet(A)=COMPLETE","amikacin=S,ampicillin=R,aztreonam=R,cefazolin=R,cefepime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=S,levofloxacin=S,moxifloxacin=S,nitrofurantoin=S,tigecycline=I,tobramycin=S"
"Staphylococcus aureus",,"""0000-0056-4345"",""181"",""SRS1296142""","PDT000107931.2","aac(6')-Ie/aph(2'')-Ia=COMPLETE,abc-f=HMM,fosB=COMPLETE,gyrA_S84L=POINT,mecA=COMPLETE,mecR1=PARTIAL,mepA=COMPLETE,murA_G257D=POINT,parC_S80F=POINT,tet(38)=COMPLETE","aac(6')-Ie/aph(2'')-Ia=COMPLETE,abc-f=HMM,fosB=COMPLETE,gyrA_S84L=POINT,mecA=COMPLETE,mecR1=PARTIAL,murA_G257D=POINT,parC_S80F=POINT,tet(38)=COMPLETE","ciprofloxacin=R,clindamycin=S,daptomycin=S,erythromycin=S,gentamicin=S,levofloxacin=R,linezolid=S,minocycline=S,moxifloxacin=I,rifampin=S,tetracycline=S,tigecycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
"Staphylococcus aureus","0345-2701-2015","""0345-2701-2015"",""SRS3745664""","PDT000287913.2","abc-f=HMM,fosB=COMPLETE,mepA=COMPLETE,murA_G257D=POINT,tet(38)=COMPLETE","abc-f=HMM,fosB=COMPLETE,murA_G257D=POINT,tet(38)=COMPLETE","cefoxitin=S,ciprofloxacin=S,clindamycin=S,daptomycin=S,erythromycin=S,fusidic acid=S,gentamicin=R,linezolid=S,moxifloxacin=S,rifampin=S,teicoplanin=S,tetracycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
"Acinetobacter baumannii","MRSN15038","""MRSN15038"",""SRS1155448""","PDT000094631.1","abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaADC-76=COMPLETE,blaCMY-30=COMPLETE,blaOXA-68=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(39)=COMPLETE,tet(A)=COMPLETE","ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaADC-76=COMPLETE,blaCMY-30=COMPLETE,blaOXA-68=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(39)=COMPLETE,tet(A)=COMPLETE","ampicillin-sulbactam=I,ampicillin=R,aztreonam=R,cefazolin=R,ceftriaxone=R,ciprofloxacin=S,gentamicin=R,imipenem=S,meropenem=S,moxifloxacin=S,nitrofurantoin=R,tigecycline=S,tobramycin=I,trimethoprim-sulfamethoxazole=R"
"Staphylococcus aureus",,"""250"",""BWH_250_S_aur"",""SRS13579684""","PDT001343030.1","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,mepA=COMPLETE,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ceftaroline=S,ciprofloxacin=S,clindamycin=R,erythromycin=R,gentamicin=S,levofloxacin=S,linezolid=S,minocycline=S,moxifloxacin=S,oxacillin=S,rifampin=S,tetracycline=S,tigecycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
"Staphylococcus aureus",,"""BWH_438_S_aur"",""SRS14603970""","PDT001383533.1","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,mepA=COMPLETE,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ceftaroline=S,ciprofloxacin=S,clindamycin=R,daptomycin=S,erythromycin=R,gentamicin=S,levofloxacin=S,minocycline=S,moxifloxacin=S,oxacillin=S,rifampin=S,tetracycline=S,tigecycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
"Staphylococcus aureus",,"""BWH_690_S_aur"",""SRS15939423""","PDT001508492.1","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,mepA=COMPLETE,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ceftaroline=S,ciprofloxacin=S,clindamycin=R,daptomycin=S,erythromycin=R,gentamicin=S,levofloxacin=S,minocycline=S,moxifloxacin=S,penicillin=R,rifampin=S,tetracycline=S,tigecycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
"Staphylococcus aureus",,"""BWH_659_S_aur"",""SRS15939408""","PDT001508507.1","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,mepA=COMPLETE,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,glpT_A100V=POINT,glpT_V213I=POINT,murA_D278E=POINT,murA_E291D=POINT,tet(38)=COMPLETE","ceftaroline=S,ciprofloxacin=S,clindamycin=R,daptomycin=S,erythromycin=R,gentamicin=S,levofloxacin=S,minocycline=S,moxifloxacin=S,penicillin=R,rifampin=S,tetracycline=S,tigecycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
"Staphylococcus aureus",,"""BWH_701_S_aur"",""SRS15939415""","PDT001508500.1","abc-f=HMM,ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,mepA=COMPLETE,parC_E84G=POINT,parC_S80Y=POINT,tet(38)=COMPLETE","abc-f=HMM,ant(9)-Ia=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,erm(A)=COMPLETE,fosB=COMPLETE,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,parC_E84G=POINT,parC_S80Y=POINT,tet(38)=COMPLETE","ceftaroline=S,ciprofloxacin=R,daptomycin=S,erythromycin=R,gentamicin=S,levofloxacin=R,linezolid=S,minocycline=S,moxifloxacin=R,oxacillin=R,rifampin=S,tetracycline=S,tigecycline=S,trimethoprim-sulfamethoxazole=S,vancomycin=S"
